abstraction	entity
phalanger, opossum, possum	marsupial
cuscus	phalanger, opossum, possum
koala	phalanger, opossum, possum
wombat	marsupial
dasyurid	marsupial
dasyure	dasyurid
thylacine	dasyurid
numbat, anteater	dasyurid
Eutheria	class
placental, eutherian	mammal, mammalian
livestock, stock	placental, eutherian
bull	placental, eutherian
cow	placental, eutherian
yearling	placental, eutherian
buck	placental, eutherian
doe	placental, eutherian
insectivore	placental, eutherian
mole	insectivore
shrew, shrewmouse	insectivore
hedgehog	insectivore
tenrec, tendrac	insectivore
potamogale	insectivore
chine	spine, backbone, back, rachis
furcula	bone, os
wishbone	furcula
cuticula	carapace, shell, cuticle, shield
hypodermis	layer
down	feather, plume, plumage
plumule	down
aftershaft	feather, plume, plumage
alula	feather, plume, plumage
marabou	feather, plume, plumage
vane, web	blade
barb	fibril, filament, strand
web	membrane
hackle	feather, plume, plumage
coat, pelage	hair
fur	coat, pelage
undercoat, underfur	fur
wool, fleece	coat, pelage
mane	hair
encolure	mane
forelock, foretop	hair
hair	process, outgrowth, appendage
cirrus	process, outgrowth, appendage
spine	process, outgrowth, appendage
ray	spine
quill	spine
aculea	process, outgrowth, appendage
aculeus	stinger
style	process, outgrowth, appendage
stylet	style
villus	process, outgrowth, appendage
bristle	hair
chaeta	seta
whisker, vibrissa	hair
seta	hair
pilus	hair
operculum	plate
scale	covering, cover
squama	scale
carapace, shell, cuticle, shield	scute
plastron	exoskeleton
shell	covering, cover
valve	shell
valve	shell
test	covering, cover
phragmocone, phragmacone	shell
apodeme	structure
theca	sheath, case
lorica	sheath, case
coelenteron	sac
invertebrate	animal, beast, brute, creature, fauna
zoophyte	invertebrate
Parazoa	subkingdom
Porifera	phylum
sponge, poriferan, parazoan	invertebrate
Hyalospongiae	class
Metazoa	subkingdom
metazoan	animal, beast, brute, creature, fauna
Cnidaria, Coelenterata	phylum
coelenterate, cnidarian	invertebrate
planula	hydrozoan, hydroid
polyp	coelenterate, cnidarian
medusa, medusoid, medusan	coelenterate, cnidarian
Scyphozoa	class
jellyfish	coelenterate, cnidarian
Aegina	jellyfish
scyphozoan	coelenterate, cnidarian
Hydrozoa	class
hydrozoan, hydroid	coelenterate, cnidarian
hydra	hydrozoan, hydroid
siphonophore	hydrozoan, hydroid
nanomia	siphonophore
jellyfish	siphonophore
praya	siphonophore
apolemia	siphonophore
sertularian	hydrozoan, hydroid
Anthozoa, Actinozoa	class
anthozoan, actinozoan	coelenterate, cnidarian
anemone	anthozoan, actinozoan
actinia, actinian, actiniarian	anemone
coral	anthozoan, actinozoan
gorgonian	coral
madrepore	coral
Ctenophora	phylum
ctene	organ
ctenophore	invertebrate
Nuda	class
beroe	ctenophore
Tentaculata	class
platyctenean	ctenophore
comb	plate
worm	invertebrate
helminth	worm
woodworm	worm
woodborer, borer	invertebrate
Acanthocephala	phylum
acanthocephalan	worm
Chaetognatha	phylum
arrowworm, chaetognath	worm
sagitta	arrowworm, chaetognath
Platyhelminthes	phylum
flatworm, platyhelminth	worm
Turbellaria	class
planarian, planaria	flatworm, platyhelminth
Trematoda	class
fluke, trematode	flatworm, platyhelminth
cercaria	larva
schistosome	fluke, trematode
Cestoda	class
tapeworm, cestode	flatworm, platyhelminth
echinococcus	tapeworm, cestode
taenia	tapeworm, cestode
Nemertea, Nemertina	phylum
nemertean, nemertine	worm
Pogonophora	phylum
pogonophoran	worm
Rotifera	phylum
rotifer	invertebrate
Nematoda, Aschelminthes	phylum
Aphasmidia	class
Phasmidia	class
nematode, roundworm	worm
pinworm, threadworm	nematode, roundworm
eelworm	nematode, roundworm
wheatworm	nematode, roundworm
trichina	nematode, roundworm
hookworm	nematode, roundworm
filaria	nematode, roundworm
Annelida	phylum
annelid	worm
Archiannelida	class
archiannelid	annelid
Oligochaeta	class
oligochaete	annelid
earthworm, angleworm, fishworm, wiggler, nightwalker, nightcrawler, crawler	oligochaete
Polychaeta	class
polychaete, polychete	annelid
lugworm, lug, lobworm	polychaete, polychete
bloodworm	polychaete, polychete
Hirudinea	class
leech, bloodsucker, hirudinean	annelid
horseleech	leech, bloodsucker, hirudinean
Mollusca	phylum
mollusk, mollusc, shellfish	invertebrate
Scaphopoda	class
scaphopod	mollusk, mollusc, shellfish
lip	margin, border, perimeter
Gastropoda, Gasteropoda	class
gastropod, univalve	mollusk, mollusc, shellfish
abalone	gastropod, univalve
ormer	abalone
conch	gastropod, univalve
snail	gastropod, univalve
slug	gastropod, univalve
seasnail	gastropod, univalve
neritid	seasnail
nerita	neritid
neritina	neritid
whelk	seasnail
triton	seasnail
moonshell	seasnail
periwinkle, winkle	seasnail
limpet	seasnail
Opisthobranchia	class
nudibranch	gastropod, univalve
physa	gastropod, univalve
cowrie, cowry	gastropod, univalve
ctenidium	gill, branchia
ceras	gill, branchia
Amphineura	class
solenogaster, aplacophoran	gastropod, univalve
Polyplacophora	class
chiton, polyplacophore	mollusk, mollusc, shellfish
byssus, beard	fiber, fibre
Bivalvia, Lamellibranchia	class
bivalve, pelecypod, lamellibranch	mollusk, mollusc, shellfish
spat	young, offspring
clam	bivalve, pelecypod, lamellibranch
seashell	shell
clamshell	shell
steamer	clam
quahog, quahaug	clam
littleneck	quahog, quahaug
cherrystone	quahog, quahaug
geoduck	clam
cockle	bivalve, pelecypod, lamellibranch
oyster	bivalve, pelecypod, lamellibranch
bluepoint	oyster
capiz	oyster
mussel	bivalve, pelecypod, lamellibranch
mytilid	mussel
scallop, scollop, escallop	bivalve, pelecypod, lamellibranch
shipworm, teredinid	clam
teredo	shipworm, teredinid
piddock	bivalve, pelecypod, lamellibranch
Cephalopoda	class
cephalopod	mollusk, mollusc, shellfish
nautilus	cephalopod
Dibranchiata, Dibranchia	class
dibranchiate, dibranch	cephalopod
octopod	cephalopod
octopus, devilfish	octopod
nautilus, Argonaut	octopod
decapod	cephalopod
squid	decapod
loligo	squid
ommastrephes	squid
architeuthis	squid
cuttlefish, cuttle	decapod
spirula	decapod
belemnite	fossil
craw, crop	stomach, tummy, tum, breadbasket
gizzard, ventriculus	pouch, pocket
Crustacea	class
crustacean	arthropod
Malacostraca	class
decapod	crustacean
brachyuran	crustacean
crab	decapod
lobster	decapod
langouste, crawfish, crayfish	lobster
crayfish, crawfish, crawdad, crawdaddy	decapod
ecrevisse	crayfish, crawfish, crawdad, crawdaddy
shrimp	decapod
prawn	decapod
stomatopod	crustacean
woodlouse, slater	isopod
sandhopper	amphipod
Entomostraca	class
Branchiopoda	class
branchiopod, branchiopodan	crustacean
daphnia	branchiopod, branchiopodan
Copepoda	class
copepod	crustacean
brit, britt	copepod
cyclops	copepod
Ostracoda	class
ostracod	crustacean
Cirripedia	class
barnacle, cirriped, cirripede	crustacean
Onychophora	class
onychophoran, peripatus	arthropod
stork	wader
adjutant	stork
marabou, marabout	stork
openbill	stork
jabiru	stork
saddlebill, jabiru	stork
jabiru	stork
flinthead	stork
shoebill, shoebird	wader
ibis	wader
spoonbill	wader
flamingo	wader
heron	wader
egret	heron
boatbill, broadbill	heron
bittern	heron
crane	wader
whooper	crane
courlan	wader
limpkin	wader
seriema	wader
chunga, seriema	wader
rail	wader
weka	rail
crake	rail
corncrake	crake
moorhen	gallinule, swamphen
notornis, takahe	rail
coot	rail
bustard	wader
hemipode	wader
ortygan	wader
trumpeter	wader
shorebird	wader
plover	shorebird
killdeer, kildeer	plover
dotterel, dotrel	plover
lapwing, peewit, pewit	plover
turnstone	plover
sandpiper	shorebird
surfbird	shorebird
stint	sandpiper
dunlin	sandpiper
greenshank	sandpiper
redshank	sandpiper
yellowlegs	sandpiper
jacksnipe	sandpiper
knot, greyback, grayback	sandpiper
sanderling	sandpiper
ruff	sandpiper
reeve	ruff
tattler	sandpiper
willet	tattler
woodcock	shorebird
snipe	shorebird
jacksnipe	snipe
dowitcher	snipe
greyback, grayback	dowitcher
curlew	shorebird
godwit	shorebird
stilt, stiltbird, longlegs	shorebird
kaki	stilt, stiltbird, longlegs
stilt	shorebird
avocet	shorebird
oystercatcher	shorebird
phalarope	shorebird
pratincole, glareole	shorebird
courser	shorebird
gull, seagull	larid
mew	gull, seagull
cob	gull, seagull
blackcap, pewit	gull, seagull
kittiwake	gull, seagull
tern	larid
skua, bonxie	jaeger
auk	seabird, seafowl
auklet	auk
razorbill	auk
dovekie	auk
guillemot	auk
murre	guillemot
puffin	seabird, seafowl
dabchick	grebe
solan	gannet
booby	gannet
Adelie	penguin
gooney, goonie, goony	albatross, mollymawk
fulmar	petrel
shearwater	petrel
whale	cetacean, blower
finback	rorqual, razorback
bottlenose	dolphin
porpoise	dolphin
vaquita	porpoise
grampus	dolphin
killer, orca, grampus	dolphin
blackfish	dolphin
narwhal, narwal, narwhale	whale
beluga	dolphin
spouter	whale
manatee	sirenian
dugong	sirenian
carnivore	placental, eutherian
omnivore	animal, beast, brute, creature, fauna
seal	pinniped, pinnatiped
walrus, seahorse	pinniped, pinnatiped
Fissipedia	placental, eutherian
fissiped	carnivore
aardvark, anteater	placental, eutherian
canine, canid	carnivore
bitch	canine, canid
dog	canine, canid
pooch, doggie, doggy, barker	dog
cur, mongrel, mutt	dog
feist, fice	cur, mongrel, mutt
lapdog	dog
toy	dog
Chihuahua	toy
Maltese	toy
Pekinese, Pekingese, Peke	toy
Afghan	hound
basset	hound
beagle	hound
bloodhound, sleuthhound	hound
bluetick	hound
boarhound	hound
coonhound	hound
coondog	coonhound
foxhound	hound
harrier	hound
redbone	hound
wolfhound	hound
borzoi	wolfhound
greyhound	hound, racer
whippet	greyhound
elkhound	hound
otterhound	hound
Saluki	hound
deerhound	hound
staghound	hound
Weimaraner	hound
bullterrier	terrier
ratter	terrier
wirehair	terrier
Airedale	terrier
cairn	terrier
schnauzer	terrier
Scottie	terrier
Lhasa	terrier
vizsla	pointer
clumber	spaniel
springer	spaniel
cocker	spaniel
kuvasz	watchdog
housedog	watchdog
schipperke	watchdog
briard	sheepdog
kelpie	sheepdog
komondor	sheepdog
bobtail	sheepdog
Shetland	sheepdog
collie	sheepdog
Rottweiler	sheepdog
alsatian	sheepdog
pinscher	watchdog
Doberman	pinscher
Appenzeller	Sennenhunde
EntleBucher	Sennenhunde
dalmatian	dog
affenpinscher	pinscher
basenji	dog
pug	dog
Leonberg	dog
Newfoundland	dog
spitz	dog
Samoyed, Samoyede	spitz
Pomeranian	spitz
chow	spitz
keeshond	spitz
griffon	dog
corgi	dog
Pembroke	corgi
Cardigan	corgi
poodle	dog
wolf	canine, canid
coyote	wolf
coydog	coyote
jackal	canine, canid
hyena, hyaena	canine, canid
aardwolf	hyena, hyaena
fox	canine, canid
vixen	fox
Reynard	fox
feline, felid	carnivore
cat	feline, felid
gib	tom, tomcat
wildcat	cat
catamountain	wildcat
cougar, puma, catamount, painter, panther	wildcat
ocelot	wildcat
jaguarundi, jaguarondi, eyra	wildcat
serval	wildcat
margay	wildcat
manul	wildcat
lynx, catamount	wildcat
bobcat	lynx, catamount
caracal	lynx, catamount
cat	feline, felid
leopard	cat
leopardess	leopard
panther	leopard
ounce	cat
jaguar, panther	cat
lion	cat
lioness	lion
lionet	lion
tiger	cat
tigress	tiger
liger	cat
tiglon, tigon	cat
cheetah, chetah	cat
sabertooth	cat
bear	carnivore
bruin	bear
bruin	bear
grizzly, silvertip	bruin
Kodiak	bruin
viverrine	carnivore
civet	viverrine
binturong, bearcat	civet
Cryptoprocta	civet
fossa	viverrine
fanaloka	civet
genet	viverrine
mongoose	viverrine
ichneumon	mongoose
meerkat, mierkat	viverrine
suricate	meerkat, mierkat
bat, chiropteran	placental, eutherian
megabat	bat, chiropteran
harpy	megabat
microbat	bat, chiropteran
vespertilionid	microbat
serotine	vespertilionid
pipistrelle, pipistrel	vespertilionid
freetail	microbat
wing	organ
ala	wing
forewing	wing
halter, haltere, balancer	wing
pennon, pinion	wing
elytron	wing
predator	animal, beast, brute, creature, fauna
prey, quarry	animal, beast, brute, creature, fauna
game	animal, beast, brute, creature, fauna
hoof	foot
hoof	unguis
webfoot	foot
calyculus, caliculus, calycle	structure
eyecup	calyculus, caliculus, calycle
tooth	structure
denticle	tooth
claw	unguis
talon	claw
claw, chela, nipper, pincer	extremity, appendage, member
tetrapod	vertebrate, craniate
quadruped	tetrapod
hexapod	animal, beast, brute, creature, fauna
biped	animal, beast, brute, creature, fauna
belly	underpart
tail	process, outgrowth, appendage
brush	tail
bobtail, bob, dock	tail
uropygium	tail
oxtail	tail
fluke	tail
scut	tail
flag	tail
Insecta, Hexapoda	class
insect	arthropod
ephemeron, ephemeral	insect
holometabola, metabola	insect
defoliator	insect
pollinator	insect
gallfly	insect
mecopteran	insect
Panorpidae	family
Bittacidae	family
collembolan, springtail	insect
proturan, telsontail	insect
beetle	insect
ladybug, ladybeetle, ladybird	beetle
vedalia	ladybug, ladybeetle, ladybird
searcher	calosoma
firefly	beetle
glowworm	firefly
longicorn	beetle
sawyer	longicorn
chrysomelid	beetle
clerid	beetle
elater, elaterid	beetle
skipjack	elater, elaterid
firefly	elater, elaterid
wireworm	larva
deathwatch	beetle
weevil	beetle
meloid	beetle
tenebrionid	weevil
mealworm	larva
louse	insect
cootie	louse
crab	louse
louse	insect
flea	ectoparasite, ectozoan, ectozoon, epizoan, epizoon, insect
Ctenocephalus	Ctenocephalides
chigoe, chigger	flea
sticktight	flea
dipteran, dipteron	insect
gallfly	dipteran, dipteron
fly	dipteran, dipteron
alula, calypter	squama
housefly	fly
tsetse, tzetze, glossina	fly
blowfly	fly
bluebottle	blowfly
greenbottle	blowfly
gadfly	fly
botfly	gadfly
horsefly, cleg, clegg	gadfly
hippoboscid	dipteran, dipteron
horsefly	hippoboscid
mosquito	dipteran, dipteron
wiggler, wriggler	larva
gnat	mosquito
anopheline	mosquito
gnat	dipteran, dipteron
punkie, punky, punkey	gnat
midge	gnat
psychodid	gnat
sandfly	gnat
sciara, sciarid	dipteran, dipteron
armyworm	sciara, sciarid
blackfly	gnat
hymenopteran, hymenopteron, hymenopter	insect
bee	hymenopteran, hymenopteron, hymenopter
drone	bee
worker	insect
soldier	worker
honeybee	bee
bumblebee, humblebee	bee
andrena, andrenid	bee
wasp	hymenopteran, hymenopteron, hymenopter
vespid	wasp
hornet	vespid
Mutillidae	hymenopteran, hymenopteron, hymenopter
sphecoid	wasp
gallfly	wasp
chalcidfly, chalcid	hymenopteran, hymenopteron, hymenopter
strawworm, jointworm	larva
sawfly	hymenopteran, hymenopteron, hymenopter
ant, emmet, pismire	hymenopteran, hymenopteron, hymenopter
termite	insect
orthopteron, orthopteran	insect
grasshopper, hopper	orthopteron, orthopteran
acridid	grasshopper, hopper
locust	acridid
tettigoniid	grasshopper, hopper
katydid	tettigoniid
cricket	orthopteron, orthopteran
phasmid	insect
walkingstick	phasmid
diapheromera	walkingstick
Exopterygota, Hemimetabola	class
blackbeetle	cockroach, roach
crotonbug	cockroach, roach
bug	insect
bug, hemipteran, hemipteron	insect
lygaeid	bug, hemipteran, hemipteron
coreid	bug, hemipteran, hemipteron
bedbug, chinch	bug, hemipteran, hemipteron
backswimmer	bug, hemipteran, hemipteron
conenose	reduviid
homopteran	insect
whitefly	homopteran
superbug	bacteria, bacterium
louse	homopteran
aphid	louse
blackfly	aphid
greenfly	aphid
adelgid	louse
psylla, psyllid	louse
cicada, cicala	homopteran
spittlebug	homopteran
froghopper	spittlebug
jassid	leafhopper
leafhopper	homopteran
planthopper	homopteran
treehopper	planthopper
Plectophera	ephemerid, ephemeropteran
ephemerid, ephemeropteran	insect
mayfly, dayfly, shadfly	ephemerid, ephemeropteran
stonefly, plecopteran	insect
neuropteron, neuropteran	insect
antlion	neuropteron, neuropteran
doodlebug, antlion	larva
lacewing	neuropteron, neuropteran
chrysopid	lacewing
goldeneye	chrysopid
hemerobiid	lacewing
dobson, dobsonfly	neuropteron, neuropteran
hellgrammiate, dobson	larva
alderfly	neuropteron, neuropteran
snakefly	neuropteron, neuropteran
mantispid	neuropteron, neuropteran
spongefly, spongillafly	neuropteron, neuropteran
odonate	insect
dragonfly	odonate
damselfly	odonate
trichopteran, trichopteron	insect
caseworm	larva
caddisworm, strawworm	caseworm
thysanuron	insect
bristletail	thysanuron
silverfish	thysanuron
firebrat	bristletail
machilid	thysanuron
thysanopter, thysanopteron	insect
thrips, thrip, thripid	thysanopter, thysanopteron
earwig	insect
lepidopteron, lepidopteran	insect
butterfly	lepidopteron, lepidopteran
nymphalid	butterfly
tortoiseshell	nymphalid
admiral	nymphalid
viceroy	nymphalid
anglewing	nymphalid
ringlet	butterfly
comma	nymphalid
fritillary	nymphalid
silverspot	fritillary
emperor	nymphalid
peacock	nymphalid
danaid	butterfly
monarch	danaid
pierid	butterfly
lycaenid	butterfly
blue	lycaenid
copper	lycaenid
hairstreak	lycaenid
moth	lepidopteron, lepidopteran
miller	moth
tortricid	moth
tortrix	tortricid
tortrix	tortricid
lymantriid	moth
browntail	lymantriid
geometrid	moth
cankerworm	caterpillar
inchworm, looper	caterpillar
pyralid	moth
tineoid	moth
tineid	tineoid
gracilariid	tineoid
gelechiid	moth
splitworm	gelechiid
noctuid	moth
cutworm	caterpillar
underwing	noctuid
armyworm	noctuid
armyworm	caterpillar
hawkmoth, sphingid	moth
bombycid	moth
silkworm	caterpillar
saturniid	moth
emperor	saturniid
silkworm	caterpillar
cecropia	saturniid
tussah, tusseh, tussur, tussore, tusser	saturniid
arctiid	moth
cinnabar	arctiid
lasiocampid	moth
eggar, egger	lasiocampid
lappet	lasiocampid
webworm	caterpillar
instar	arthropod
caterpillar	larva
bollworm	caterpillar
vetchworm	bollworm
cabbageworm	caterpillar
larva	animal, beast, brute, creature, fauna
nymph	larva
leptocephalus	larva
bot	larva
grub	larva
maggot	grub
leatherjacket	grub
pupa	insect
chrysalis	pupa
imago	insect
queen	insect
Phoronida, Phoronidea	phylum
phoronid	invertebrate
Bryozoa, polyzoa	phylum
bryozoan, polyzoan	invertebrate
Ectoprocta	phylum
ectoproct	invertebrate
Entoprocta, Endoprocta	phylum
entoproct	invertebrate
Cycliophora	phylum
Brachiopoda	phylum
brachiopod, lampshell	invertebrate
Sipuncula	phylum
sipunculid	invertebrate
Echinodermata	phylum
echinoderm	invertebrate
Asteroidea	class
starfish	echinoderm
Ophiuroidea	class
Ophiurida	class
Euryalida	class
Echinoidea	class
Crinoidea	class
crinoid	echinoderm
Comatulidae	Antedonidae
Comatula	Antedon
comatulid	crinoid
Holothuroidea	class
holothurian	echinoderm
trepang	holothurian
foot	organ
roe	egg
milt	semen, seed, ejaculate, cum, come
Duplicidentata	lagomorph
lagomorph	placental, eutherian
leporid	lagomorph
rabbit, coney, cony	leporid
lapin	rabbit, coney, cony
bunny	rabbit, coney, cony
cottontail	rabbit, coney, cony
canecutter	cottontail
hare	leporid
leveret	hare
jackrabbit	hare
leporide	rabbit, coney, cony
Angora	rabbit, coney, cony
pika, coney, cony	lagomorph
rodent, gnawer	placental, eutherian
mouse	rodent, gnawer
rat	rodent, gnawer
murine	rodent, gnawer
fieldmouse	mouse
muskrat, musquash	rodent, gnawer
phenacomys	vole
hamster	rodent, gnawer
gerbil, gerbille	rodent, gnawer
jird	gerbil, gerbille
lemming	rodent, gnawer
porcupine, hedgehog	rodent, gnawer
jerboa	rodent, gnawer
dormouse	rodent, gnawer
loir	dormouse
lerot	dormouse
squirrel	rodent, gnawer
gopher, spermophile	squirrel
suslik, souslik	gopher, spermophile
flickertail	gopher, spermophile
hackee	squirrel
chipmunk	squirrel
baronduki, baranduki, barunduki, burunduki	squirrel
marmot	rodent, gnawer
groundhog, woodchuck	marmot
whistler	marmot
rockchuck	marmot
beaver	rodent, gnawer
sewellel	rodent, gnawer
cavy	rodent, gnawer
aperea	cavy
mara	rodent, gnawer
capybara, capibara	rodent, gnawer
agouti	rodent, gnawer
paca	rodent, gnawer
coypu, nutria	rodent, gnawer
chinchilla	rodent, gnawer
viscacha, chinchillon	rodent, gnawer
abrocome	rodent, gnawer
dug	mamma
udder, bag	mamma
Ungulata	placental, eutherian
ungulate	placental, eutherian
Unguiculata	placental, eutherian
unguiculate	placental, eutherian
dinocerate	ungulate
dinoceras, uintathere	dinocerate
hyrax, coney, cony, dassie, das	placental, eutherian
perissodactyl	ungulate
equine, equid	perissodactyl
horse	equine, equid
roan	horse
stablemate	horse
eohippus	horse
mesohippus	horse
protohippus	horse
filly	female, foal
colt	foal, male
ridgeling, ridgling, ridgel, ridgil	colt
stud, studhorse	stallion, entire
mare	horse
broodmare	mare
mount	horse
remount	mount
palfrey	mount
warhorse	mount
charger, courser	warhorse
steed	warhorse
prancer	mount
hack	mount
Morgan	mount
Appaloosa	mount
Arabian, Arab	mount
Lippizan, Lipizzan, Lippizaner	mount
pony	horse
mustang	pony
bronco, bronc, broncho	mustang
buckskin	mount
crowbait	mount
dun	mount
grey, gray	mount
cayuse	pony
hack	horse
hack, jade, nag, plug	horse
pony	horse
Exmoor	pony
racehorse, bangtail	horse
thoroughbred	racehorse, bangtail
steeplechaser	horse, racer
racer	animal, beast, brute, creature, fauna
finisher	racer
pony	racehorse, bangtail
yearling	racehorse, bangtail
mudder	racehorse, bangtail
nonstarter	racehorse, bangtail
workhorse	horse
packhorse	sumpter, workhorse
dobbin	workhorse
poster	horse
pacer	horse
pacer, pacemaker, pacesetter	racehorse, bangtail
trotter	racehorse, bangtail
stepper	horse
chestnut	horse
bay	horse
sorrel	horse
palomino	horse
pinto	horse
ass	equine, equid
donkey	ass
burro	donkey
moke	donkey
jack, jackass	ass
jennet, jenny	ass
mule	equine, equid
hinny	equine, equid
chigetai, dziggetai	onager
zebra	equine, equid
quagga	equine, equid
rhinoceros, rhino	perissodactyl
tapir	perissodactyl
artiodactyl	ungulate
swine	artiodactyl
hog, pig, grunter, squealer	swine
porker	hog, pig, grunter, squealer
boar	swine
sow	swine
razorback	swine
boar	swine
babirusa, babiroussa, babirussa	swine
warthog	swine
peccary	artiodactyl
javelina	peccary
hippopotamus, hippo	artiodactyl
ruminant	artiodactyl
rumen	stomach, tummy, tum, breadbasket
reticulum	stomach, tummy, tum, breadbasket
psalterium, omasum	stomach, tummy, tum, breadbasket
abomasum	stomach, tummy, tum, breadbasket
bovid	ruminant
Bovini	tribe
bovine	bovid
ox	bovine
cattle, cows, kine, oxen	bovine
ox	cattle, cows, kine, oxen
stirk	cattle, cows, kine, oxen
bullock, steer	cattle, cows, kine, oxen, male
bull	cattle, cows, kine, oxen
cow	cattle, cows, kine, oxen
springer	cow
heifer	cow
bullock	bull
dogie, dogy, leppy	calf
maverick	calf
beef	cattle, cows, kine, oxen
longhorn	beef
Brahman, Brahma, Brahmin	bovine
zebu	Brahman, Brahma, Brahmin
aurochs, urus	ox
yak	ox
banteng, banting, tsine	ox
Welsh	cattle, cows, kine, oxen
Angus	beef
Africander	cattle, cows, kine, oxen
milcher, milker	cattle, cows, kine, oxen
Ayrshire	milcher, milker
Charolais	beef
Jersey	milcher, milker
Devon	cattle, cows, kine, oxen
grade	cattle, cows, kine, oxen
Durham, shorthorn	beef
Galloway	beef
Friesian, Holstein	milcher, milker
Guernsey	milcher, milker
Hereford, whiteface	beef
cattalo, beefalo	beef
buffalo	bovid
anoa	buffalo
tamarau, tamarao	buffalo
bison	bovid
buffalo	bison
wisent, aurochs	bison
sheep	bovid
ewe	sheep
ram, tup	sheep
wether	sheep
bellwether	wether
lambkin	lamb
hog, hogget, hogg	lamb
teg	lamb
beard	hair
goat	bovid
kid	goat
billy	goat
nanny	goat
antelope	bovid
blackbuck	antelope
gerenuk	antelope
addax	antelope
gnu, wildebeest	antelope
hartebeest	antelope
sassaby, topi	antelope
impala	antelope
gazelle	antelope
springbok, springbuck	gazelle
bongo	antelope
kudu, koodoo, koudou	antelope
nilgai, nylghai, nylghau	antelope
saiga	antelope
steenbok, steinbok	antelope
eland	antelope
kob	waterbuck
lechwe	waterbuck
waterbuck	antelope
puku	antelope
oryx, pasang	antelope
gemsbok, gemsbuck	oryx, pasang
pronghorn, prongbuck	ruminant
deer, cervid	ruminant
stag	buck
royal	stag
pricket	deer, cervid
fawn	deer, cervid
elk, wapiti	deer, cervid
hart, stag	elk, wapiti
hind	elk, wapiti
brocket	elk, wapiti
sambar, sambur	deer, cervid
wapiti, elk	deer, cervid
sika	deer, cervid
whitetail	deer, cervid
elk, moose	deer, cervid
caribou, reindeer	deer, cervid
brocket	deer, cervid
muntjac	deer, cervid
elaphure	deer, cervid
chevrotain	ruminant
kanchil	chevrotain
napu	chevrotain
camel	artiodactyl
dromedary	camel
llama	artiodactyl
guanaco	llama
alpaca	llama
vicuna	artiodactyl
giraffe, camelopard	ruminant
okapi	giraffe, camelopard
trotter	foot
forefoot	foot
hindfoot	foot
paw	foot
forepaw	paw
hand	forepaw
pad	structure
mustelid, musteline	carnivore
weasel	mustelid, musteline
ermine	weasel
stoat	ermine
mink	mustelid, musteline
polecat, fitch, foulmart, foumart	mustelid, musteline
ferret	polecat, fitch, foulmart, foumart
ferret	mustelid, musteline
muishond	weasel
zoril	muishond
otter	mustelid, musteline
skunk, polecat	mustelid, musteline
badger	mustelid, musteline
ratel	mustelid, musteline
wolverine, carcajou	mustelid, musteline
glutton, wolverine	mustelid, musteline
grison	mustelid, musteline
marten	mustelid, musteline
sable	marten
fisher, pekan	marten
tayra, taira	mustelid, musteline
muzzle	face
snout, neb	nose
snout, rostrum	nose
proboscis, trunk	snout, neb
pachyderm	placental, eutherian
edentate	placental, eutherian
armadillo	edentate
peba	armadillo
apar	armadillo
tatouay, cabassous	armadillo
peludo, poyou	armadillo
tatou, tatu	armadillo
pichiciago, pichiciego, chlamyphore	armadillo
sloth	edentate
ai	sloth
unau, unai	sloth
unau, unai	sloth
megatherian, megatheriid	edentate
megathere	megatherian, megatheriid
mylodontid	edentate
mylodon	edentate
mapinguari	mylodontid
anteater	edentate
tamanoir	anteater
tamandua, tamandu	anteater
pangolin, anteater	placental, eutherian
pastern	bone, os
fetlock	process, outgrowth, appendage
fetlock	joint, articulation, articulatio
hock	joint, articulation, articulatio
haunch	hindquarters, croup, croupe, rump
stifle, knee	joint, articulation, articulatio
hindlimb	limb
forelimb	limb
foreleg	forelimb
flipper	limb
parapodium	extremity, appendage, member
sucker	organ
cupule	sucker
stinger	organ
fin	extremity, appendage, member
fishbone	bone, os
float	sac
serictery, sericterium	gland, secretor, secreter
elbow	joint, articulation, articulatio
chestnut	callus
quill, calamus, shaft	rib
vein, nervure	rib
pinion, quill	feather, plume, plumage
primary	pinion, quill
scapular	feather, plume, plumage
tadpole, polliwog, pollywog	larva
primate	placental, eutherian
simian	primate
ape	primate
anthropoid	primate
Hominoidea	class
hominoid	primate
hominid	primate
homo, man, human	hominid
world, humanity, humankind, humans, mankind, man	group, grouping, homo, man, human
Pithecanthropus	hominid
Sinanthropus	hominid
Javanthropus	hominid
Neandertal, Neanderthal	homo, man, human
australopithecine	hominid
Zinjanthropus	australopithecine
Paranthropus	australopithecine
Sivapithecus	hominid
dryopithecine	hominid
rudapithecus	dryopithecine
proconsul	hominoid
Aegyptopithecus	hominoid
orangutan, orang, orangutang	pongid
gorilla	pongid
silverback	gorilla
chimpanzee, chimp	pongid
bonobo	chimpanzee, chimp
monkey	primate
catarrhine	monkey
guenon	catarrhine
talapoin	guenon
grivet	guenon
vervet	guenon
mangabey	catarrhine
patas	catarrhine
baboon	catarrhine
chacma	baboon
mandrill	baboon
drill	baboon
macaque	catarrhine
rhesus	macaque
langur	catarrhine
entellus, hanuman	langur
colobus	catarrhine
guereza	colobus
platyrrhine, platyrrhinian	monkey
marmoset	platyrrhine, platyrrhinian
tamarin, leoncita	marmoset
pinche	tamarin, leoncita
capuchin, ringtail	platyrrhine, platyrrhinian
douroucouli	platyrrhine, platyrrhinian
howler	platyrrhine, platyrrhinian
saki	platyrrhine, platyrrhinian
